PRODUCTO,URL,ARCHIVOJSON
iPhone 14 Pro 256GB,https://articulo.mercadolibre.cl/MLC-1234567890,
Samsung Galaxy S23 Ultra,https://www.amazon.com/dp/B0BN4EXAMPLE,
Laptop Dell Inspiron 15,https://articulo.mercadolibre.com.mx/MLM-987654321,
PlayStation 5 Digital Edition,https://www.mercadolibre.com.ar/MLA-456789123,
Nintendo Switch OLED,https://www.amazon.com/dp/B098EXAMPLE,
MacBook Air M2,https://articulo.mercadolibre.cl/MLC-2345678901,
AirPods Pro 2,https://www.amazon.com/dp/B0CHTEXAMPLE,
Samsung TV 55" QLED,https://articulo.mercadolibre.com/MLA-345678912,
Xiaomi Redmi Note 12,https://articulo.mercadolibre.com.mx/MLM-876543210,
Sony WH-1000XM5,https://www.amazon.com/dp/B09XMEXAMPLE,
